token_id,owner,balance,allocation
219,0xcba1a275e2d858ecffaf7a87f606f74b719a8a93,8617789.016768824,1598.2412794258576
2588,0x58dfdbee1d0d157aded161c16bd40a61bd15deab,7359765.510425123,1364.9302649168915
272,0xb3bfb32977cfd6200ab9537e3703e501d8381c9b,6661607.687969388,1235.4510389539896
687,0x59a6d1342f09ff5ac3c3b74039e5b152ddd8153a,3630023.2143645287,673.2182622691794
76,0x71ae112a1842d0c719185e9b8d0caafa4e00789b,3504587.4250043323,649.9551426821556
2701,0x611b0c1ed942b833c786c53883a4aa37a25602a6,1141114.091321934,211.62918258226907
46,0x8783fbd927ca247bf0685e2b5b757ed7f85a6a86,840500.6218083669,155.87789240875404
2738,0xcf2c2fdc9a5a6fa2fc237dc3f5d14dd9b49f66a3,809795.6864064458,150.183404513313
3018,0x9e21b3781a2841f41247d08a7eaee7d7fecb36bc,767818.1631385635,142.3983206171719
79,0x77e2d5da7fb85093f91273afa6f175a7ac102f04,660981.0762400529,122.58448645129101
2562,0xf1bb85b4d326bd8743d3fc1feb440f16dd784cbd,654569.3308779905,121.39537447710883
32,0x98d1d755807c8e98824f003c402ab40c1a7e1847,642364.788374578,119.1319396694678
2525,0xc7c10871096b36b036e41d45d15b32b0cc74b806,570629.3445225733,105.82799972163218
2379,0x011b0a055e02425461a1ae95b30f483c4ff05be7,565827.2901586975,104.93741844893458
1408,0xc9c384a9e7e28f7ef55903eb90947fe3ce71d475,536480.9983700992,99.49490241107972
295,0x0172e05392aba65366c4dbbb70d958bbf43304e4,517636.8512669213,96.00009722180572
2451,0xbf891e7efcc98a8239385d3172ba10ad593c7886,497422.5925742914,92.25119334255207
2589,0x37ebefeab5491ad7ec00eb79e288c809ed03e36e,480281.95641464926,89.07231855080984
2346,0xf9c6f2ac725fd4497de30d0d3d7c65d578c2d864,472152.4961856278,87.56464194232117
2358,0xdc6b5549763d893b01a41acf0d7d77ccb44f3417,445739.6199712977,82.66615243509769
